,id,name,form,gen,type1,type2,stats,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg,ability_0,ability_1,ability_hidden,ev_yield,catch_rate,growth_rate,egg_groups,male_percent,female_percent,egg_cycles,egg_steps,is_legendary,evo_1,evo_1_details,evo_2,evo_3,evo_2_details,evo_stage,evo_is_final
223,224,Octillery,,2,water,,480,75,105,75,105,75,45,Jet Pokémon,0.9,28.5,Suction Cups,Suction Cups,Moody,"1 Attack, 1 Sp. Atk",75,Medium Fast,"Water 1,Water 2",50.0,50.0,20.0,5140.0,0,Remoraid,Level 25,Octillery,,,2.0,1
224,225,Delibird,,2,ice,flying,330,45,55,45,65,45,75,Delivery Pokémon,0.9,16.0,Vital Spirit,Vital Spirit,Insomnia,1 Speed,45,Fast,"Field,Water 1",50.0,50.0,20.0,5140.0,0,Delibird,,,,,1.0,1
225,226,Mantine,,2,water,flying,485,85,40,70,80,140,70,Kite Pokémon,2.1,220.0,Swift Swim,Swift Swim,Water Veil,2 Sp. Def,25,Slow,Water 1,50.0,50.0,25.0,6425.0,0,Mantyke,with Remoraid in party,Mantine,,,2.0,1
226,227,Skarmory,,2,steel,flying,465,65,80,140,40,70,70,Armor Bird Pokémon,1.7,50.5,Keen Eye,Keen Eye,Weak Armor,2 Defense,25,Slow,Flying,50.0,50.0,25.0,6425.0,0,Skarmory,,,,,1.0,1
227,228,Houndour,,2,dark,fire,330,45,60,30,80,50,65,Dark Pokémon,0.6,10.8,Early Bird,Early Bird,Unnerve,1 Sp. Atk,120,Slow,Field,50.0,50.0,20.0,5140.0,0,Houndour,Level 24,Houndoom,,,1.0,0
228,229,Houndoom,,2,dark,fire,500,75,90,50,110,80,95,Dark Pokémon,1.4,35.0,Early Bird,Early Bird,Unnerve,2 Sp. Atk,45,Slow,Field,50.0,50.0,20.0,5140.0,0,Houndour,Level 24,Houndoom,,,2.0,1
229,230,Kingdra,,2,water,dragon,540,75,95,95,95,95,85,Dragon Pokémon,1.8,152.0,Swift Swim,Swift Swim,Damp,"1 Attack, 1 Sp. Atk, 1 Sp. Def",45,Medium Fast,"Dragon,Water 1",50.0,50.0,20.0,5140.0,0,Horsea,Level 32,Seadra,Kingdra,trade holding Dragon Scale,3.0,1
230,231,Phanpy,,2,ground,,330,90,60,60,40,40,40,Long Nose Pokémon,0.5,33.5,Pickup,,Sand Veil,1 HP,120,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Phanpy,Level 25,Donphan,,,1.0,0
231,232,Donphan,,2,ground,,500,90,120,120,60,60,50,Armor Pokémon,1.1,120.0,Sturdy,,Sand Veil,"1 Attack, 1 Defense",60,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Phanpy,Level 25,Donphan,,,2.0,1
232,233,Porygon2,,2,normal,,515,85,80,90,105,95,60,Virtual Pokémon,0.6,32.5,Trace,Trace,Analytic,2 Sp. Atk,45,Medium Fast,Mineral,,,20.0,5140.0,0,Porygon,trade holding Upgrade,Porygon2,Porygon-Z,trade holding Dubious Disc,2.0,0
233,234,Stantler,,2,normal,,465,73,95,62,85,65,85,Big Horn Pokémon,1.4,71.2,Intimidate,Intimidate,Sap Sipper,1 Attack,45,Slow,Field,50.0,50.0,20.0,5140.0,0,Stantler,use Psyshield Bash 20 times in Agile Style,Wyrdeer,,,1.0,0
234,235,Smeargle,,2,normal,,250,55,20,35,20,45,75,Painter Pokémon,1.2,58.0,Own Tempo,Own Tempo,Moody,1 Speed,45,Fast,Field,50.0,50.0,20.0,5140.0,0,Smeargle,,,,,1.0,1
235,236,Tyrogue,,2,fighting,,210,35,35,35,35,35,35,Scuffle Pokémon,0.7,21.0,Guts,Guts,Vital Spirit,1 Attack,75,Medium Fast,Undiscovered,100.0,0.0,25.0,6425.0,0,Tyrogue,"Level 20, Attack = Defense",Hitmontop,,,1.0,0
236,237,Hitmontop,,2,fighting,,455,50,95,95,35,110,70,Handstand Pokémon,1.4,48.0,Intimidate,Intimidate,Steadfast,2 Sp. Def,45,Medium Fast,Human-Like,100.0,0.0,25.0,6425.0,0,Tyrogue,"Level 20, Attack = Defense",Hitmontop,,,2.0,1
237,238,Smoochum,,2,ice,psychic,305,45,30,15,85,65,65,Kiss Pokémon,0.4,6.0,Oblivious,Oblivious,Hydration,1 Sp. Atk,45,Medium Fast,Undiscovered,0.0,100.0,25.0,6425.0,0,Smoochum,Level 30,Jynx,,,1.0,0
238,239,Elekid,,2,electric,,360,45,63,37,65,55,95,Electric Pokémon,0.6,23.5,Static,,Vital Spirit,1 Speed,45,Medium Fast,Undiscovered,75.0,25.0,25.0,6425.0,0,Elekid,Level 30,Electabuzz,Electivire,trade holding Electirizer,1.0,0
239,240,Magby,,2,fire,,365,45,75,37,70,55,83,Live Coal Pokémon,0.7,21.4,Flame Body,,Vital Spirit,1 Speed,45,Medium Fast,Undiscovered,75.0,25.0,25.0,6425.0,0,Magby,Level 30,Magmar,Magmortar,trade holding Magmarizer,1.0,0
240,241,Miltank,,2,normal,,490,95,80,105,40,70,100,Milk Cow Pokémon,1.2,75.5,Thick Fat,Thick Fat,Sap Sipper,2 Defense,45,Slow,Field,0.0,100.0,20.0,5140.0,0,Miltank,,,,,1.0,1
241,242,Blissey,,2,normal,,540,255,10,10,75,135,55,Happiness Pokémon,1.5,46.8,Natural Cure,Natural Cure,Healer,3 HP,30,Fast,Fairy,0.0,100.0,40.0,10280.0,0,Happiny,"hold Oval Stone, Daytime",Chansey,Blissey,high Friendship,3.0,1
242,243,Raikou,,2,electric,,580,90,85,75,115,100,115,Thunder Pokémon,1.9,178.0,Pressure,,Inner Focus,"1 Sp. Atk, 2 Speed",3,Slow,Undiscovered,,,80.0,20560.0,1,Raikou,,,,,1.0,1
243,244,Entei,,2,fire,,580,115,115,85,90,75,100,Volcano Pokémon,2.1,198.0,Pressure,,Inner Focus,"1 HP, 2 Attack",3,Slow,Undiscovered,,,80.0,20560.0,1,Entei,,,,,1.0,1
244,245,Suicune,,2,water,,580,100,75,115,90,115,85,Aurora Pokémon,2.0,187.0,Pressure,,Inner Focus,"1 Defense, 2 Sp. Def",3,Slow,Undiscovered,,,80.0,20560.0,1,Suicune,,,,,1.0,1
245,246,Larvitar,,2,rock,ground,300,50,64,50,45,50,41,Rock Skin Pokémon,0.6,72.0,Guts,,Sand Veil,1 Attack,45,Slow,Monster,50.0,50.0,40.0,10280.0,0,Larvitar,Level 30,Pupitar,Tyranitar,Level 55,1.0,0
246,247,Pupitar,,2,rock,ground,410,70,84,70,65,70,51,Hard Shell Pokémon,1.2,152.0,Shed Skin,,,2 Attack,45,Slow,Monster,50.0,50.0,40.0,10280.0,0,Larvitar,Level 30,Pupitar,Tyranitar,Level 55,2.0,0
247,248,Tyranitar,,2,rock,dark,600,100,134,110,95,100,61,Armor Pokémon,2.0,202.0,Sand Stream,,Unnerve,3 Attack,45,Slow,Monster,50.0,50.0,40.0,10280.0,0,Larvitar,Level 30,Pupitar,Tyranitar,Level 55,3.0,1
248,249,Lugia,,2,psychic,flying,680,106,90,130,90,154,110,Diving Pokémon,5.2,216.0,Pressure,,Multiscale,3 Sp. Def,3,Slow,Undiscovered,,,120.0,30840.0,1,Lugia,,,,,1.0,1
249,250,Ho-oh,,2,fire,flying,680,106,130,90,110,154,90,Rainbow Pokémon,3.8,199.0,Pressure,,Regenerator,3 Sp. Def,3,Slow,Undiscovered,,,120.0,30840.0,0,Ho-oh,,,,,1.0,1
250,251,Celebi,,2,psychic,grass,600,100,100,100,100,100,100,Time Travel Pokémon,0.6,5.0,Natural Cure,,,3 HP,45,Medium Slow,Undiscovered,,,120.0,30840.0,1,Celebi,,,,,1.0,1
251,252,Treecko,,3,grass,,310,40,45,35,65,55,70,Wood Gecko Pokémon,0.5,5.0,Overgrow,,Unburden,1 Speed,45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Treecko,Level 16,Grovyle,Sceptile,Level 36,1.0,0
252,253,Grovyle,,3,grass,,405,50,65,45,85,65,95,Wood Gecko Pokémon,0.9,21.6,Overgrow,,Unburden,2 Speed,45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Treecko,Level 16,Grovyle,Sceptile,Level 36,2.0,0
253,254,Sceptile,,3,grass,,530,70,85,65,105,85,120,Forest Pokémon,1.7,52.2,Overgrow,,Unburden,3 Speed,45,Medium Slow,"Dragon,Monster",87.5,12.5,20.0,5140.0,0,Treecko,Level 16,Grovyle,Sceptile,Level 36,3.0,1
254,255,Torchic,,3,fire,,310,45,60,40,70,50,45,Chick Pokémon,0.4,2.5,Blaze,,Speed Boost,1 Sp. Atk,45,Medium Slow,Field,87.5,12.5,20.0,5140.0,0,Torchic,Level 16,Combusken,Blaziken,Level 36,1.0,0
255,256,Combusken,,3,fire,fighting,405,60,85,60,85,60,55,Young Fowl Pokémon,0.9,19.5,Blaze,,Speed Boost,"1 Attack, 1 Sp. Atk",45,Medium Slow,Field,87.5,12.5,20.0,5140.0,0,Torchic,Level 16,Combusken,Blaziken,Level 36,2.0,0
256,257,Blaziken,,3,fire,fighting,530,80,120,70,110,70,80,Blaze Pokémon,1.9,52.0,Blaze,,Speed Boost,3 Attack,45,Medium Slow,Field,87.5,12.5,20.0,5140.0,0,Torchic,Level 16,Combusken,Blaziken,Level 36,3.0,1
257,258,Mudkip,,3,water,,310,50,70,50,50,50,40,Mud Fish Pokémon,0.4,7.6,Torrent,,Damp,1 Attack,45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Mudkip,Level 16,Marshtomp,Swampert,Level 36,1.0,0
258,259,Marshtomp,,3,water,ground,405,70,85,70,60,70,50,Mud Fish Pokémon,0.7,28.0,Torrent,,Damp,2 Attack,45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Mudkip,Level 16,Marshtomp,Swampert,Level 36,2.0,0
259,260,Swampert,,3,water,ground,535,100,110,90,85,90,60,Mud Fish Pokémon,1.5,81.9,Torrent,,Damp,3 Attack,45,Medium Slow,"Monster,Water 1",87.5,12.5,20.0,5140.0,0,Mudkip,Level 16,Marshtomp,Swampert,Level 36,3.0,1
260,261,Poochyena,,3,dark,,220,35,55,35,30,30,35,Bite Pokémon,0.5,13.6,Run Away,Run Away,Rattled,1 Attack,255,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Poochyena,Level 18,Mightyena,,,1.0,0
261,262,Mightyena,,3,dark,,420,70,90,70,60,60,70,Bite Pokémon,1.0,37.0,Intimidate,Intimidate,Moxie,2 Attack,127,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Poochyena,Level 18,Mightyena,,,2.0,1
262,263,Zigzagoon,,3,normal,,240,38,30,41,30,41,60,TinyRaccoon Pokémon,0.4,17.5,Pickup,Pickup,Quick Feet,1 Speed,255,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Zigzagoon,Level 20,Linoone,,,1.0,0
263,264,Linoone,,3,normal,,420,78,70,61,50,61,100,Rushing Pokémon,0.5,32.5,Pickup,Pickup,Quick Feet,2 Speed,90,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Zigzagoon,Level 20,Linoone,,,2.0,1
264,265,Wurmple,,3,bug,,195,45,45,35,20,30,20,Worm Pokémon,0.3,3.6,Shield Dust,,Run Away,1 HP,255,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Wurmple,"Level 7, random based on personality",Cascoon,Dustox,Level 10,1.0,0
265,266,Silcoon,,3,bug,,205,50,35,55,25,25,15,Cocoon Pokémon,0.6,10.0,Shed Skin,,,2 Defense,120,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Wurmple,"Level 7, random based on personality",Silcoon,Beautifly,Level 10,2.0,0
266,267,Beautifly,,3,bug,flying,395,60,70,50,100,50,65,Butterfly Pokémon,1.0,28.4,Swarm,,Rivalry,3 Sp. Atk,45,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Wurmple,"Level 7, random based on personality",Silcoon,Beautifly,Level 10,3.0,1
267,268,Cascoon,,3,bug,,205,50,35,55,25,25,15,Cocoon Pokémon,0.7,11.5,Shed Skin,,,2 Defense,120,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Wurmple,"Level 7, random based on personality",Cascoon,Dustox,Level 10,2.0,0
268,269,Dustox,,3,bug,poison,385,60,50,70,50,90,65,Poison Moth Pokémon,1.2,31.6,Shield Dust,,Compound Eyes,3 Sp. Def,45,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Wurmple,"Level 7, random based on personality",Cascoon,Dustox,Level 10,3.0,1
269,270,Lotad,,3,water,grass,220,40,30,30,40,50,30,Water Weed Pokémon,0.5,2.6,Swift Swim,Swift Swim,Own Tempo,1 Sp. Def,255,Medium Slow,"Grass,Water 1",50.0,50.0,15.0,3855.0,0,Lotad,Level 14,Lombre,Ludicolo,use Water Stone,1.0,0
270,271,Lombre,,3,water,grass,340,60,50,50,60,70,50,Jolly Pokémon,1.2,32.5,Swift Swim,Swift Swim,Own Tempo,2 Sp. Def,120,Medium Slow,"Grass,Water 1",50.0,50.0,15.0,3855.0,0,Lotad,Level 14,Lombre,Ludicolo,use Water Stone,2.0,0
271,272,Ludicolo,,3,water,grass,480,80,70,70,90,100,70,Carefree Pokémon,1.5,55.0,Swift Swim,Swift Swim,Own Tempo,3 Sp. Def,45,Medium Slow,"Grass,Water 1",50.0,50.0,15.0,3855.0,0,Lotad,Level 14,Lombre,Ludicolo,use Water Stone,3.0,1
272,273,Seedot,,3,grass,,220,40,40,50,30,30,30,Acorn Pokémon,0.5,4.0,Chlorophyll,Chlorophyll,Pickpocket,1 Defense,255,Medium Slow,"Field,Grass",50.0,50.0,15.0,3855.0,0,Seedot,Level 14,Nuzleaf,Shiftry,use Leaf Stone,1.0,0
273,274,Nuzleaf,,3,grass,dark,340,70,70,40,60,40,60,Wily Pokémon,1.0,28.0,Chlorophyll,Chlorophyll,Pickpocket,2 Attack,120,Medium Slow,"Field,Grass",50.0,50.0,15.0,3855.0,0,Seedot,Level 14,Nuzleaf,Shiftry,use Leaf Stone,2.0,0
274,275,Shiftry,,3,grass,dark,480,90,100,60,90,60,80,Wicked Pokémon,1.3,59.6,Chlorophyll,Chlorophyll,Pickpocket,3 Attack,45,Medium Slow,"Field,Grass",50.0,50.0,15.0,3855.0,0,Seedot,Level 14,Nuzleaf,Shiftry,use Leaf Stone,3.0,1
275,276,Taillow,,3,normal,flying,270,40,55,30,30,30,85,TinySwallow Pokémon,0.3,2.3,Guts,,Scrappy,1 Speed,200,Medium Slow,Flying,50.0,50.0,15.0,3855.0,0,Taillow,Level 22,Swellow,,,1.0,0
276,277,Swellow,,3,normal,flying,455,60,85,60,75,50,125,Swallow Pokémon,0.7,19.8,Guts,,Scrappy,2 Speed,45,Medium Slow,Flying,50.0,50.0,15.0,3855.0,0,Taillow,Level 22,Swellow,,,2.0,1
277,278,Wingull,,3,water,flying,270,40,30,30,55,30,85,Seagull Pokémon,0.6,9.5,Keen Eye,Keen Eye,Rain Dish,1 Speed,190,Medium Fast,"Flying,Water 1",50.0,50.0,20.0,5140.0,0,Wingull,Level 25,Pelipper,,,1.0,0
278,279,Pelipper,,3,water,flying,440,60,50,100,95,70,65,Water Bird Pokémon,1.2,28.0,Keen Eye,Keen Eye,Rain Dish,2 Defense,45,Medium Fast,"Flying,Water 1",50.0,50.0,20.0,5140.0,0,Wingull,Level 25,Pelipper,,,2.0,1
279,280,Ralts,,3,psychic,fairy,198,28,25,25,45,35,40,Feeling Pokémon,0.4,6.6,Synchronize,Synchronize,Telepathy,1 Sp. Atk,235,Slow,"Amorphous,Human-Like",50.0,50.0,20.0,5140.0,0,Ralts,Level 20,Kirlia,Gallade,"use Dawn Stone, Male",1.0,0
280,281,Kirlia,,3,psychic,fairy,278,38,35,35,65,55,50,Emotion Pokémon,0.8,20.2,Synchronize,Synchronize,Telepathy,2 Sp. Atk,120,Slow,"Amorphous,Human-Like",50.0,50.0,20.0,5140.0,0,Ralts,Level 20,Kirlia,Gallade,"use Dawn Stone, Male",2.0,0
281,282,Gardevoir,,3,psychic,fairy,518,68,65,65,125,115,80,Embrace Pokémon,1.6,48.4,Synchronize,Synchronize,Telepathy,3 Sp. Atk,45,Slow,"Amorphous,Human-Like",50.0,50.0,20.0,5140.0,0,Ralts,Level 20,Kirlia,Gardevoir,Level 30,3.0,1
282,283,Surskit,,3,bug,water,269,40,30,32,50,52,65,Pond Skater Pokémon,0.5,1.7,Swift Swim,,Rain Dish,1 Speed,200,Medium Fast,"Bug,Water 1",50.0,50.0,15.0,3855.0,0,Surskit,Level 22,Masquerain,,,1.0,0
283,284,Masquerain,,3,bug,flying,454,70,60,62,100,82,80,Eyeball Pokémon,0.8,3.6,Intimidate,,Unnerve,"1 Sp. Atk, 1 Sp. Def",75,Medium Fast,"Bug,Water 1",50.0,50.0,15.0,3855.0,0,Surskit,Level 22,Masquerain,,,2.0,1
284,285,Shroomish,,3,grass,,295,60,40,60,40,60,35,Mushroom Pokémon,0.4,4.5,Effect Spore,Effect Spore,Quick Feet,1 HP,255,Fluctuating,"Fairy,Grass",50.0,50.0,15.0,3855.0,0,Shroomish,Level 23,Breloom,,,1.0,0
285,286,Breloom,,3,grass,fighting,460,60,130,80,60,60,70,Mushroom Pokémon,1.2,39.2,Effect Spore,Effect Spore,Technician,2 Attack,90,Fluctuating,"Fairy,Grass",50.0,50.0,15.0,3855.0,0,Shroomish,Level 23,Breloom,,,2.0,1
286,287,Slakoth,,3,normal,,280,60,60,60,35,35,30,Slacker Pokémon,0.8,24.0,Truant,,,1 HP,255,Slow,Field,50.0,50.0,15.0,3855.0,0,Slakoth,Level 18,Vigoroth,Slaking,Level 36,1.0,0
287,288,Vigoroth,,3,normal,,440,80,80,80,55,55,90,Wild Monkey Pokémon,1.4,46.5,Vital Spirit,,,2 Speed,120,Slow,Field,50.0,50.0,15.0,3855.0,0,Slakoth,Level 18,Vigoroth,Slaking,Level 36,2.0,0
288,289,Slaking,,3,normal,,670,150,160,100,95,65,100,Lazy Pokémon,2.0,130.5,Truant,,,3 HP,45,Slow,Field,50.0,50.0,15.0,3855.0,0,Slakoth,Level 18,Vigoroth,Slaking,Level 36,3.0,1
289,290,Nincada,,3,bug,ground,266,31,45,90,30,30,40,Trainee Pokémon,0.5,5.5,Compound Eyes,,Run Away,1 Defense,255,Erratic,Bug,50.0,50.0,15.0,3855.0,0,Nincada,,Ninjask,,,1.0,0
290,291,Ninjask,,3,bug,flying,456,61,90,45,50,50,160,Ninja Pokémon,0.8,12.0,Speed Boost,,Infiltrator,2 Speed,120,Erratic,Bug,50.0,50.0,15.0,3855.0,0,Nincada,,Ninjask,,,2.0,1
291,292,Shedinja,,3,bug,ghost,236,1,90,45,30,30,40,Shed Pokémon,0.8,1.2,Wonder Guard,,,2 HP,45,Erratic,Mineral,,,15.0,3855.0,0,Nincada,,Shedinja,,,2.0,1
292,293,Whismur,,3,normal,,240,64,51,23,51,23,28,Whisper Pokémon,0.6,16.3,Soundproof,,Rattled,1 HP,190,Medium Slow,"Field,Monster",50.0,50.0,20.0,5140.0,0,Whismur,Level 20,Loudred,Exploud,Level 40,1.0,0
293,294,Loudred,,3,normal,,360,84,71,43,71,43,48,Big Voice Pokémon,1.0,40.5,Soundproof,,Scrappy,2 HP,120,Medium Slow,"Field,Monster",50.0,50.0,20.0,5140.0,0,Whismur,Level 20,Loudred,Exploud,Level 40,2.0,0
294,295,Exploud,,3,normal,,490,104,91,63,91,73,68,Loud Noise Pokémon,1.5,84.0,Soundproof,,Scrappy,3 HP,45,Medium Slow,"Field,Monster",50.0,50.0,20.0,5140.0,0,Whismur,Level 20,Loudred,Exploud,Level 40,3.0,1
295,296,Makuhita,,3,fighting,,237,72,60,30,20,30,25,Guts Pokémon,1.0,86.4,Thick Fat,Thick Fat,Sheer Force,1 HP,180,Fluctuating,Human-Like,75.0,25.0,20.0,5140.0,0,Makuhita,Level 24,Hariyama,,,1.0,0
296,297,Hariyama,,3,fighting,,474,144,120,60,40,60,50,Arm Thrust Pokémon,2.3,253.8,Thick Fat,Thick Fat,Sheer Force,2 HP,200,Fluctuating,Human-Like,75.0,25.0,20.0,5140.0,0,Makuhita,Level 24,Hariyama,,,2.0,1
297,298,Azurill,,3,normal,fairy,190,50,20,40,20,40,20,Polka Dot Pokémon,0.2,2.0,Thick Fat,Thick Fat,Sap Sipper,1 HP,150,Fast,Undiscovered,25.0,75.0,10.0,2570.0,0,Azurill,high Friendship,Marill,Azumarill,Level 18,1.0,0
298,299,Nosepass,,3,rock,,375,30,45,135,45,90,30,Compass Pokémon,1.0,97.0,Sturdy,Sturdy,Sand Force,1 Defense,255,Medium Fast,Mineral,50.0,50.0,20.0,5140.0,0,Nosepass,level up in a Magnetic Field area,Probopass,,,1.0,0
299,300,Skitty,,3,normal,,260,50,45,45,35,35,50,Kitten Pokémon,0.6,11.0,Cute Charm,Cute Charm,Wonder Skin,1 Speed,255,Fast,"Fairy,Field",25.0,75.0,15.0,3855.0,0,Skitty,use Moon Stone,Delcatty,,,1.0,0
300,301,Delcatty,,3,normal,,400,70,65,65,55,55,90,Prim Pokémon,1.1,32.6,Cute Charm,Cute Charm,Wonder Skin,"1 HP, 1 Speed",60,Fast,"Fairy,Field",25.0,75.0,15.0,3855.0,0,Skitty,use Moon Stone,Delcatty,,,2.0,1
301,302,Sableye,,3,dark,ghost,380,50,75,75,65,65,50,Darkness Pokémon,0.5,11.0,Keen Eye,Keen Eye,Prankster,"1 Attack, 1 Defense",45,Medium Slow,Human-Like,50.0,50.0,25.0,6425.0,0,Sableye,,,,,1.0,1
302,303,Mawile,,3,steel,fairy,380,50,85,85,55,55,50,Deceiver Pokémon,0.6,11.5,Hyper Cutter,Hyper Cutter,Sheer Force,"1 Attack, 1 Defense",45,Fast,"Fairy,Field",50.0,50.0,20.0,5140.0,0,Mawile,,,,,1.0,1
303,304,Aron,,3,steel,rock,330,50,70,100,40,40,30,Iron Armor Pokémon,0.4,60.0,Sturdy,Sturdy,Heavy Metal,1 Defense,180,Slow,Monster,50.0,50.0,35.0,8995.0,0,Aron,Level 32,Lairon,Aggron,Level 42,1.0,0
304,305,Lairon,,3,steel,rock,430,60,90,140,50,50,40,Iron Armor Pokémon,0.9,120.0,Sturdy,Sturdy,Heavy Metal,2 Defense,90,Slow,Monster,50.0,50.0,35.0,8995.0,0,Aron,Level 32,Lairon,Aggron,Level 42,2.0,0
305,306,Aggron,,3,steel,rock,530,70,110,180,60,60,50,Iron Armor Pokémon,2.1,360.0,Sturdy,Sturdy,Heavy Metal,3 Defense,45,Slow,Monster,50.0,50.0,35.0,8995.0,0,Aron,Level 32,Lairon,Aggron,Level 42,3.0,1
306,307,Meditite,,3,fighting,psychic,280,30,40,55,40,55,60,Meditate Pokémon,0.6,11.2,Pure Power,,Telepathy,1 Speed,180,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Meditite,Level 37,Medicham,,,1.0,0
307,308,Medicham,,3,fighting,psychic,410,60,60,75,60,75,80,Meditate Pokémon,1.3,31.5,Pure Power,,Telepathy,2 Speed,90,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Meditite,Level 37,Medicham,,,2.0,1
308,309,Electrike,,3,electric,,295,40,45,40,65,40,65,Lightning Pokémon,0.6,15.2,Static,Static,Minus,1 Speed,120,Slow,Field,50.0,50.0,20.0,5140.0,0,Electrike,Level 26,Manectric,,,1.0,0
309,310,Manectric,,3,electric,,475,70,75,60,105,60,105,Discharge Pokémon,1.5,40.2,Static,Static,Minus,2 Speed,45,Slow,Field,50.0,50.0,20.0,5140.0,0,Electrike,Level 26,Manectric,,,2.0,1
310,311,Plusle,,3,electric,,405,60,50,40,85,75,95,Cheering Pokémon,0.4,4.2,Plus,,Lightning Rod,1 Speed,200,Medium Fast,Fairy,50.0,50.0,20.0,5140.0,0,Plusle,,,,,1.0,1
311,312,Minun,,3,electric,,405,60,40,50,75,85,95,Cheering Pokémon,0.4,4.2,Minus,,Volt Absorb,1 Speed,200,Medium Fast,Fairy,50.0,50.0,20.0,5140.0,0,Minun,,,,,1.0,1
312,313,Volbeat,,3,bug,,430,65,73,75,47,85,85,Firefly Pokémon,0.7,17.7,Illuminate,Illuminate,Prankster,1 Speed,150,Erratic,"Bug,Human-Like",100.0,0.0,15.0,3855.0,0,Volbeat,,,,,1.0,1
313,314,Illumise,,3,bug,,430,65,47,75,73,85,85,Firefly Pokémon,0.6,17.7,Oblivious,Oblivious,Prankster,1 Speed,150,Fluctuating,"Bug,Human-Like",0.0,100.0,15.0,3855.0,0,Illumise,,,,,1.0,1
314,315,Roselia,,3,grass,poison,400,50,60,45,100,80,65,Thorn Pokémon,0.3,2.0,Natural Cure,Natural Cure,Leaf Guard,2 Sp. Atk,150,Medium Slow,"Fairy,Grass",50.0,50.0,20.0,5140.0,0,Budew,"high Friendship, Daytime",Roselia,Roserade,use Shiny Stone,2.0,0
315,316,Gulpin,,3,poison,,302,70,43,53,43,53,40,Stomach Pokémon,0.4,10.3,Liquid Ooze,Liquid Ooze,Gluttony,1 HP,225,Fluctuating,Amorphous,50.0,50.0,20.0,5140.0,0,Gulpin,Level 26,Swalot,,,1.0,0
316,317,Swalot,,3,poison,,467,100,73,83,73,83,55,Poison Bag Pokémon,1.7,80.0,Liquid Ooze,Liquid Ooze,Gluttony,2 HP,75,Fluctuating,Amorphous,50.0,50.0,20.0,5140.0,0,Gulpin,Level 26,Swalot,,,2.0,1
317,318,Carvanha,,3,water,dark,305,45,90,20,65,20,65,Savage Pokémon,0.8,20.8,Rough Skin,,Speed Boost,1 Attack,225,Slow,Water 2,50.0,50.0,20.0,5140.0,0,Carvanha,Level 30,Sharpedo,,,1.0,0
318,319,Sharpedo,,3,water,dark,460,70,120,40,95,40,95,Brutal Pokémon,1.8,88.8,Rough Skin,,Speed Boost,2 Attack,60,Slow,Water 2,50.0,50.0,20.0,5140.0,0,Carvanha,Level 30,Sharpedo,,,2.0,1
319,320,Wailmer,,3,water,,400,130,70,35,70,35,60,Ball Whale Pokémon,2.0,130.0,Water Veil,Water Veil,Pressure,1 HP,125,Fluctuating,"Field,Water 2",50.0,50.0,40.0,10280.0,0,Wailmer,Level 40,Wailord,,,1.0,0
320,321,Wailord,,3,water,,500,170,90,45,90,45,60,Float Whale Pokémon,14.5,398.0,Water Veil,Water Veil,Pressure,2 HP,60,Fluctuating,"Field,Water 2",50.0,50.0,40.0,10280.0,0,Wailmer,Level 40,Wailord,,,2.0,1
321,322,Numel,,3,fire,ground,305,60,60,40,65,45,35,Numb Pokémon,0.7,24.0,Oblivious,Oblivious,Own Tempo,1 Sp. Atk,255,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Numel,Level 33,Camerupt,,,1.0,0
322,323,Camerupt,,3,fire,ground,460,70,100,70,105,75,40,Eruption Pokémon,1.9,220.0,Magma Armor,Magma Armor,Anger Point,"1 Attack, 1 Sp. Atk",150,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Numel,Level 33,Camerupt,,,2.0,1
323,324,Torkoal,,3,fire,,470,70,85,140,85,70,20,Coal Pokémon,0.5,80.4,White Smoke,White Smoke,Shell Armor,2 Defense,90,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Torkoal,,,,,1.0,1
324,325,Spoink,,3,psychic,,330,60,25,35,70,80,60,Bounce Pokémon,0.7,30.6,Thick Fat,Thick Fat,Gluttony,1 Sp. Def,255,Fast,Field,50.0,50.0,20.0,5140.0,0,Spoink,Level 32,Grumpig,,,1.0,0
